Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
8245,City of Hastings - (NE),62833,Hastings Community Solar Farm,1626 N Highland Rd,Hastings,NE,68901,Adams,40.602,-98.437,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,,X,,City of Hastings - (NE),8245,NE,750, , ,N,,,,,,,
49893,Invenergy Services LLC,62956,Thunderhead Wind Energy LLC,TBD,Boone,NE,68620,Antelope,42.062002,-98.238961,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,,,Nebraska Public Power District,13337,NE,345, , ,N,,,,,,N,N
63124,Cuming County Renewables. LLC,63393,"Cuming County Renewables, LLC",2027-2001 9th Rd.,Wisner,NE,68791,Cuming,42.019972,-96.861833,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF17-392-001,N,,,,,Cuming County Public Pwr Dist,4632,NE,34.5, , ,N,,,,,,N,N
63521,"DG Southwest Solar Portfolio 2019, LLC",63844,Fort Calhoun Community Solar,5393 CR 47,Fort Calhoun,NE,68023,Washington,41.456612,-96.004766,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF18-1915-000,N,,,,,Omaha Public Power District,14127,NE,13.8, , ,N,,,,,,,
63764,"Haystack Wind Project, LLC",64139,"Haystack Wind Project, LLC",81613 569th Avenue,Carroll,NE,68723,Wayne,42.26303,-97.19566,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Nebraska Public Power District,13337,NE,345, , ,N,,,,,,,
63842,"BCSB, LLC",64222,Burt County Solar Hybrid,VQ79+G4,Tekamah,NE,68061,Burt,41.863778,-96.232167,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,20-328-000,N,,,,,Burt County Public Power Dist,2599,NE,12.47, , ,Y,,,,,,N,N
63842,"BCSB, LLC",64223,Dodge County Solar Hybrid,J66X+Q6,Scribner,NE,68057,Dodge,41.612,-96.752,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,20-297-000,N,,,,,Burt County Public Power Dist,2599,NE,12.47, , ,Y,,,,,,N,N
63956,"Little Blue Wind Project, LLC",64336,"Little Blue Wind Project, LLC",2045 Rd 1800,Blue Hill,NE,68930,Webster,40.284421,-98.407586,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Nebraska Public Power District,13337,NE,345, , ,N,,,,,,,
63966,"Emerick Wind, LLC",64344,Emerick Wind,TBD,Emerick,NE,68752,Madison,41.891,-97.71756,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Nebraska Public Power District,13337,NE,345, , ,N,,,,,,,
61677,Sol Systems,64365,"Western Meadowlark Solar SCS NE 1, LLC","Section 12, Township 22N, Rang",Scottsbluff,NE,69361,Scotts Bluff,41.889,-103.649,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Nebraska Public Power District,13337,NE,34.5, , ,N,,,,,,,
63993,"Milligan 1 Wind, LLC",64377,Milligan 1 Wind Farm,1003 County Rd M,Western,NE,68464,Saline,40.478624,-97.220567,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,Y,EG20-96-000,,,,Nebraska Public Power District,13337,NE,345, , ,N,,,,,,,
64065,City of Scribner,64420,Scribner Diesel Generation Facility,145 Bridge Street,Scribner,NE,68057,Dodge,41.668419,-96.669132,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,,,,Nebraska Public Power District,13337,NE,2.4,4.16,34.5,N,,,,,,N,N
14127,Omaha Public Power District,64547,Turtle Creek,14601 South 168th Street,Springfield,NE,68059,Sarpy,41.092238,-96.168308,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,,,,Omaha Public Power District,14127,NE,161, , ,N,,NORTHERN NATURAL GAS,,,,N,
14127,Omaha Public Power District,64548,Standing Bear Lake,11401 Military RD,Omaha,NE,68164,Douglas,41.315814,-96.093923,MRO,SWPP,Southwest Power Pool,,22,RE,1,Electric Utility,N,,N,,N,,,,,Omaha Public Power District,14127,NE,161, , ,N,METROPOLITAN UTILITIES DIST OF OMAHA,,,,,N,
64486,"DG Nebraska Energy Storage, LLC",65098,South Sioux City Energy Storage,1633 C. Avenue,South Sioux City,NE,68776,Dakota,42.433124,-96.407199,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF21-731-000,N,,,,,City of South Sioux City,17577,NE,12.47, , ,Y,,,,,,,
61012,AES Distributed Energy,65334,Platteview Solar LLC,470 County Road J,Ashland,NE,68003,Saunders,41.190999,-96.379421,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Omaha Public Power District,14127,NE, , , ,N,,,,,,,
61677,Sol Systems,65411,"Airport 009239 SCS Lexington, LLC",N. Airport Road,Lexington,NE,68850,Dawson,40.785402,-99.768018,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF21-217-000,N,,,,,Nebraska Public Power District,13337,NE,13.8, , ,N,,,,,,,
61677,Sol Systems,65416,"Monroe 009452 SCS Cozad, LLC",711 W. 2nd Street,Cozad,NE,69130,Dawson,40.872664,-99.978579,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF21-216-000,N,,,,,Nebraska Public Power District,13337,NE,34.5, , ,N,,,,,,,
62842,"Lightsource Renewable Energy Asset Management, LLC",66113,Big Elk Solar,TBD,Kennard,NE,68008,Washington,41.475678,-96.293089,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Nebraska Public Power District,13337,NE,161, , ,N,,,,,,,
61677,Sol Systems,66178,"South 49th 013445 SCS Norfolk, LLC",301 S. 49th St,Norfolk,NE,68701,Madison,42.0312,-97.48271,MRO,WACM,Western Area Power Administration - Rocky Mountain Region,,22,NR,2,IPP Non-CHP,N,,Y,QF22-112-00,N,,,,,Nebraska Public Power District,13337,NE,34.5, , ,Y,,,,,,,
65318,"SPPW1, LLC",66195,"SPPW1, LLC",2239 Hwy 10,Upland,NE,68981,Franklin,40.313772,-98.960279,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF21-360,N,,,,,Southern Public Power District,17642,NE,69, , ,N,,,,,,,
